zipcode,state,city,zone
94957,CA,Ross,4
94960,CA,San Anselmo,4
94963,CA,San Geronimo,4
94964,CA,San Quentin,4
94965,CA,Sausalito,4
94970,CA,Stinson Beach,4
94971,CA,Tomales,4
94972,CA,Valley Ford,4
94973,CA,Woodacre,4
94974,CA,San Quentin,4
94976,CA,Corte Madera,4
94977,CA,Larkspur,4
94978,CA,Fairfax,4
94979,CA,San Anselmo,4
94998,CA,Novato,4
94999,CA,Petaluma,4
95002,CA,Alviso,3
95006,CA,Boulder Creek,3
95008,CA,Campbell,3
95009,CA,Campbell,3
95014,CA,Cupertino,3
95015,CA,Cupertino,3
95026,CA,Holy City,3
95030,CA,Los Gatos,3
95032,CA,Los Gatos,3
95033,CA,Los Gatos,3
95035,CA,Milpitas,3
95036,CA,Milpitas,3
95044,CA,Redwood Estates,3
95050,CA,Santa Clara,3
95051,CA,Santa Clara,3
95053,CA,Santa Clara,3
95054,CA,Santa Clara,3
95070,CA,Saratoga,3
95071,CA,Saratoga,3
95101,CA,San Jose,3
95110,CA,San Jose,3
95111,CA,San Jose,3
95112,CA,San Jose,3
95113,CA,San Jose,3
95116,CA,San Jose,3
95117,CA,San Jose,3
95118,CA,San Jose,3
95119,CA,San Jose,3
95120,CA,San Jose,3
95121,CA,San Jose,3
95122,CA,San Jose,3
95123,CA,San Jose,3
95124,CA,San Jose,3
95125,CA,San Jose,3
95126,CA,San Jose,3
95127,CA,San Jose,3
95128,CA,San Jose,3
95129,CA,San Jose,3
95130,CA,San Jose,3
95131,CA,San Jose,3
95132,CA,San Jose,3
95133,CA,San Jose,3
95134,CA,San Jose,3
95135,CA,San Jose,3
95136,CA,San Jose,3
95138,CA,San Jose,3
95140,CA,Mount Hamilton,3
95148,CA,San Jose,3
95190,CA,San Jose,3
95191,CA,San Jose,3
95192,CA,San Jose,3
95193,CA,San Jose,3
95194,CA,San Jose,3
95196,CA,San Jose,3
95416,CA,Boyes Hot Springs,4
95431,CA,Eldridge,4
95433,CA,El Verano,4
95442,CA,Glen Ellen,4
95452,CA,Kenwood,4
95473,CA,Sebastopol,4
95476,CA,Sonoma,4
95487,CA,Vineburg,4
95020,CA,Gilroy,3
95037,CA,Morgan Hill,3
95076,CA,Watsonville,3
77002,TX,Houston,6
77003,TX,Houston,6
77004,TX,Houston,6
77005,TX,Houston,6
77006,TX,Houston,6
77007,TX,Houston,6
77008,TX,Houston,6
77009,TX,Houston,6
77010,TX,Houston,6
77011,TX,Houston,6
77012,TX,Houston,6
77013,TX,Houston,6
77014,TX,Houston,6
77015,TX,Houston,6
77016,TX,Houston,6
77017,TX,Houston,6
77018,TX,Houston,6
77019,TX,Houston,6
77020,TX,Houston,6
77021,TX,Houston,6
77022,TX,Houston,6
77023,TX,Houston,6
77024,TX,Houston,6
77025,TX,Houston,6
77026,TX,Houston,6
77027,TX,Houston,6
77028,TX,Houston,6
77029,TX,Houston,6
77030,TX,Houston,6
77031,TX,Houston,6
77032,TX,Houston,6
77033,TX,Houston,6
77034,TX,Houston,6
77035,TX,Houston,6
77036,TX,Houston,6
77037,TX,Houston,6
77038,TX,Houston,6
77039,TX,Houston,6
77040,TX,Houston,6
77041,TX,Houston,6
77042,TX,Houston,6
77043,TX,Houston,6
77044,TX,Houston,6
77045,TX,Houston,6
77046,TX,Houston,6
77047,TX,Houston,6
77048,TX,Houston,6
77049,TX,Houston,6
77050,TX,Houston,6
77051,TX,Houston,6
77053,TX,Houston,6
77054,TX,Houston,6
77055,TX,Houston,6
77056,TX,Houston,6
77057,TX,Houston,6
77058,TX,Houston,6
77059,TX,Houston,6
77060,TX,Houston,6
77061,TX,Houston,6
77062,TX,Houston,6
77063,TX,Houston,6
77064,TX,Houston,6
77065,TX,Houston,6
77066,TX,Houston,6
77067,TX,Houston,6
77068,TX,Houston,6
77069,TX,Houston,6
77070,TX,Houston,6
77071,TX,Houston,6
77072,TX,Houston,6
77073,TX,Houston,6
77074,TX,Houston,6
77075,TX,Houston,6
77076,TX,Houston,6
77077,TX,Houston,6
77078,TX,Houston,6
77079,TX,Houston,6
77080,TX,Houston,6
77081,TX,Houston,6
77082,TX,Houston,6
77083,TX,Houston,6
77084,TX,Houston,6
77085,TX,Houston,6
77086,TX,Houston,6
77087,TX,Houston,6
77088,TX,Houston,6
77089,TX,Houston,6
77090,TX,Houston,6
77091,TX,Houston,6
77092,TX,Houston,6
