zipcode,state,city,zone
60827,IL,Riverdale,2
60586,IL,Plainfield,2
46312,IN,East Chicago,2
46320,IN,Hammond,2
46321,IN,Munster,2
46322,IN,Highland,2
46323,IN,Hammond,2
46324,IN,Hammond,2
46327,IN,Hammond,2
46394,IN,Whiting,2
